Name,Published Date,Original Price,Discount Price,Reviews,Search Filter
Steam Deck,"17 Jan, 2025",N/A,N/A,N/A,topsellers
007 First Light,"26 May, 2026",N/A,Rp 650 000,3087,topsellers
Counter-Strike 2,"21 Aug, 2012",N/A,Free,2544423,topsellers
Forza Horizon 6,"18 May, 2026",N/A,Rp 899 000,24208,topsellers
Paralives,"25 May, 2026",Rp 299 999,Rp 269 999,5252,topsellers
Where Winds Meet,"14 Nov, 2025",N/A,Free,61243,topsellers
Subnautica 2,"14 May, 2026",N/A,Rp 350 999,57672,topsellers
Street Fighter™ 6,"1 Jun, 2023",N/A,Rp 490 000,19774,topsellers
PUBG: BATTLEGROUNDS,"21 Dec, 2017",N/A,Free,445792,topsellers
Apex Legends™,"4 Nov, 2020",N/A,Free,442937,topsellers
Starminer,"27 May, 2026",Rp 254 999,Rp 229 499,355,topsellers
LEGO® Batman™: Legacy of the Dark Knight,"22 May, 2026",N/A,Rp 1 149 000,3749,topsellers
Limbus Company,"26 Feb, 2023",N/A,Free,45233,topsellers
TEKKEN 8,"25 Jan, 2024",Rp 499 000,Rp 299 400,26274,topsellers
Grand Theft Auto V Enhanced,"4 Mar, 2025",Rp 439 000,Rp 219 500,61610,topsellers
"Warhammer 40,000: Space Marine 2","9 Sep, 2024",Rp 549 000,Rp 164 700,91460,topsellers
Warframe,"25 Mar, 2013",N/A,Free,293633,topsellers
The Outlast Trials,"5 Mar, 2024",Rp 299 999,Rp 89 999,39209,topsellers
Romestead,"25 May, 2026",Rp 99 999,Rp 89 999,612,topsellers
Marvel Rivals,"5 Dec, 2024",N/A,Free,282058,topsellers
Dead by Daylight,"14 Jun, 2016",N/A,Rp 219 890,255454,topsellers
Once Human,"9 Jul, 2024",N/A,Free,83263,topsellers
Dota 2,"9 Jul, 2013",N/A,Free,828720,topsellers
Overwatch®,"10 Aug, 2023",N/A,Free,157553,topsellers
Total War: WARHAMMER III,"16 Feb, 2022",Rp 648 999,Rp 97 349,54367,topsellers
Kingdom Come: Deliverance II,"4 Feb, 2025",Rp 641 000,Rp 320 500,63901,topsellers
No Man's Sky,"12 Aug, 2016",Rp 449 999,Rp 179 999,180677,topsellers
Gamble With Your Friends,"1 May, 2026",N/A,Rp 74 000,5463,topsellers
Path of Exile 2,"6 Dec, 2024",N/A,Rp 478 185,90188,topsellers
Librarian: Tidy Up the Arcane Library!,"30 Apr, 2026",N/A,Rp 58 499,5893,topsellers
Diablo® IV,"27 Apr, 2026",N/A,Rp 744 000,19530,topsellers
ARK: Survival Ascended,"25 Oct, 2023",Rp 715 000,Rp 178 750,54357,topsellers
Crimson Desert,"19 Mar, 2026",N/A,Rp 799 000,56513,topsellers
Assassin’s Creed Shadows,"19 Mar, 2025",Rp 799 000,Rp 399 500,14916,topsellers
Utawarerumono: Past and Present Rediscovered,"27 May, 2026",Rp 469 999,Rp 422 999,45,topsellers
EA SPORTS FC™ 26,"25 Sep, 2025",N/A,Rp 319 500,18381,topsellers
War Thunder,"15 Aug, 2013",N/A,Free,311461,topsellers
StarSavior,"10 Dec, 2025",N/A,Free,1091,topsellers
Slay the Spire 2,"5 Mar, 2026",N/A,Rp 211 000,53451,topsellers
Wuthering Waves,"28 Apr, 2025",N/A,Free,24644,topsellers
Starward,"24 Apr, 2024",N/A,Free,872,topsellers
Hogwarts Legacy,"10 Feb, 2023",Rp 799 000,Rp 119 850,141134,topsellers
Rust,"8 Feb, 2018",N/A,Rp 329 000,521925,topsellers
Teamfight Manager 2,"25 May, 2026",Rp 165 999,Rp 149 399,712,topsellers
MechWarrior 5: Mercenaries,"26 May, 2021",N/A,Rp 139 999,10279,topsellers
eFootball™,"29 Sep, 2021",N/A,Free,28396,topsellers
NBA 2K26,"4 Sep, 2025",N/A,Rp 799 000,10419,topsellers
Kenshi,"6 Dec, 2018",Rp 139 999,Rp 39 200,47133,topsellers
Street Fighter™ 6 - Year 3 Ultimate Pass,"15 Jul, 2025",N/A,Rp 629 000,53,topsellers
Tom Clancy's Rainbow Six Siege,"1 Dec, 2015",N/A,Free,782459,topsellers
Kingdom Come: Deliverance II,"4 Feb, 2025",Rp 641 000,Rp 320 500,63901,topsellers
No Man's Sky,"12 Aug, 2016",Rp 449 999,Rp 179 999,180677,topsellers
Gamble With Your Friends,"1 May, 2026",N/A,Rp 74 000,5462,topsellers
Path of Exile 2,"6 Dec, 2024",N/A,Rp 478 185,90188,topsellers
Librarian: Tidy Up the Arcane Library!,"30 Apr, 2026",N/A,Rp 58 499,5897,topsellers
Diablo® IV,"27 Apr, 2026",N/A,Rp 744 000,19530,topsellers
